policy,run_id,student_id,test_id,persona,total_marks,total_score,expected_marks,expected_score,negative_penalty_total,score_per_minute,marks_per_minute,total_time_sec,overtime_sec,overtime_violation,accuracy,n_questions,unique_topics,easy_count,medium_count,hard_count,negative_marking_enabled,negative_penalty_ratio
mars_timebudget,0,254,s254_t17,Struggling,64.0,56.0,71.76036617103968,65.70045771379962,8.0,1.5232048979514587,1.7408055976588102,2205.875259801768,0.0,0,0.7333333333333333,30,19,12,18,0,True,0.25
dkt_timebudget,0,254,s254_t17,Struggling,54.0,43.5,48.67676776858932,36.84595971073665,10.5,1.1832038046587223,1.4688047230246206,2205.8752598017686,0.0,0,0.5666666666666667,30,19,12,18,0,True,0.25
gkt_timebudget,0,254,s254_t17,Struggling,52.0,41.0,49.44711178752547,37.80888973440685,11.0,1.115203586000175,1.414404548097783,2205.8752598017686,0.0,0,0.5333333333333333,30,19,12,18,0,True,0.25
bkt_timebudget,0,254,s254_t17,Struggling,28.0,11.0,46.730047022788135,34.41255877848516,17.0,0.2992009620976079,0.7616024489757293,2205.8752598017686,0.0,0,0.3333333333333333,30,19,12,18,0,True,0.25
mars_timebudget,0,256,s256_t14,Struggling,82.0,73.5,79.42658845426241,70.28323556782803,8.5,1.60535548250816,1.7910088376281514,2747.0551214675183,0.0,0,0.7777777777777778,36,18,17,17,2,True,0.25
dkt_timebudget,0,256,s256_t14,Struggling,82.0,64.0,77.7991124111534,58.74889051394175,18.0,1.228737141537839,1.5743194625953565,3125.159865513634,0.0,0,0.575,40,20,17,17,6,True,0.25
gkt_timebudget,0,256,s256_t14,Struggling,86.0,69.0,78.83455434621581,60.04319293276976,17.0,1.3247322307204823,1.651115533941471,3125.1598655136345,0.0,0,0.625,40,20,17,17,6,True,0.25
bkt_timebudget,0,256,s256_t14,Struggling,92.0,76.5,79.6125303380527,61.015662922565845,15.5,1.4687248644944482,1.7663096409606436,3125.159865513634,0.0,0,0.625,40,20,17,17,6,True,0.25
mars_timebudget,0,256,s256_t15,Struggling,114.0,105.0,111.77482943430364,102.21853679287956,9.0,1.7505648531043194,1.9006132690846893,3598.83839140724,0.0,0,0.8333333333333334,48,24,23,25,0,True,0.25
dkt_timebudget,0,256,s256_t15,Struggling,88.0,69.5,82.64237462404446,62.80296828005558,18.5,1.138427864677627,1.4414626200234697,3662.946181645717,62.94618164571739,1,0.5306122448979592,49,25,22,25,2,True,0.25
